"ktech_id","m_tactic_id"
"ktech-1ccba6a5-ff26-4306-bd58-c652533540e6","TA0004"
"ktech-5a728e27-6359-433e-b673-ab863b561427","TA0006"
"ktech-cce3dfde-fcbc-4972-b666-e50403edb23e","TA0040"
"ktech-c902f00f-97fd-45c0-8753-dace2c608168","TA0004"
"ktech-e9238385-bcec-4866-9493-2fb6b9129c04","TA0007"
"ktech-5163e382-6b2b-4cc8-bf47-22a2e1e8e346","TA0002"
"ktech-9300e8ea-52e6-4368-82a2-42f8afd594e2","TA0008"
"ktech-5a728e27-6359-433e-b673-ab863b561427","TA0003"
"ktech-d7f52f90-7169-41fa-97e3-31f1488aa7da","TA0002"
"ktech-6f14fa07-7cbf-4473-9ab3-d47864b7ed98","TA0001"
"ktech-26c5a7ae-cf37-4f6b-93ad-bb47ffdc564c","TA0006"
"ktech-5e328d1a-c14d-4031-99c0-d107731563e3","TA0005"
"ktech-cce83cd7-20ee-4a03-b731-51df2c399b4c","TA0002"
"ktech-e642da19-c9bb-47eb-85f9-3400d5376c57","TA0003"
"ktech-2f39e379-fb3b-4776-bcf8-5d7044c0bef7","TA0004"
"ktech-336f8b2c-71f1-47f6-b1c7-6e2b7b2d122d","TA0006"
"ktech-4e32dea8-742d-474f-bf43-bbfce4656239","TA0002"
"ktech-0c7a8541-1cf9-4cce-85d8-5824104289cf","TA0007"
"ktech-63d3ac25-85f8-4c5b-b2e2-cce25363560e","TA0008"
"ktech-40c10504-94ed-4e29-8caa-18eb049a7c0c","TA0001"
"ktech-26c5a7ae-cf37-4f6b-93ad-bb47ffdc564c","TA0008"
"ktech-d4286f4c-e286-48ca-a2d5-8f5089fff410","TA0008"
"ktech-2480daf0-c14e-4db9-9adb-46b00df4da5e","TA0006"
"ktech-4a67ed7a-7387-4ff4-a610-0060a02d2eb8","TA0003"
"ktech-47087c4a-ac12-4f51-815a-233ac60b827c","TA0007"
"ktech-f0a70cc6-83e5-49e2-aa52-a3068c7304ef","TA0007"
"ktech-4aa2cc22-e6a0-4699-9d60-15650f4dc74f","TA0040"
"ktech-686b23f5-bcce-4c68-a6e5-fcf31a7f6ed8","TA0040"
"ktech-0c3de308-f0f5-44d8-a4a2-dd3d74452216","TA0005"
"ktech-de76a07a-0935-4cea-9755-089a2da00020","TA0002"
"ktech-b887aec6-ea88-49e3-b349-3c0797c4723d","TA0004"
"ktech-24660362-fa61-411c-9f82-8f6e107b1b2c","TA0005"
"ktech-5e8ee7c7-27a0-4cda-ba17-6cd931afc43c","TA0006"
"ktech-be003bad-fc60-4ba7-868d-194f909d4c4b","TA0001"
"ktech-e0117c66-e93b-4f5d-b484-1310c38f2fa1","TA0001"
"ktech-8c302563-5294-498c-95a4-b96daf9ed5e1","TA0008"
"ktech-312017d6-1fbe-4ad1-abe5-97c411d6c9f7","TA0003"
