"kobs_id","ktech_id"
"obf-5e328d1a-c14d-4031-99c0-d107731563e3","ktech-5e328d1a-c14d-4031-99c0-d107731563e3"
"obf-8c302563-5294-498c-95a4-b96daf9ed5e1","ktech-8c302563-5294-498c-95a4-b96daf9ed5e1"
"obf-24660362-fa61-411c-9f82-8f6e107b1b2c","ktech-24660362-fa61-411c-9f82-8f6e107b1b2c"
"obf-1ccba6a5-ff26-4306-bd58-c652533540e6","ktech-1ccba6a5-ff26-4306-bd58-c652533540e6"
"obf-cce83cd7-20ee-4a03-b731-51df2c399b4c","ktech-cce83cd7-20ee-4a03-b731-51df2c399b4c"
"obf-d4286f4c-e286-48ca-a2d5-8f5089fff410","ktech-d4286f4c-e286-48ca-a2d5-8f5089fff410"
"obf-336f8b2c-71f1-47f6-b1c7-6e2b7b2d122d","ktech-336f8b2c-71f1-47f6-b1c7-6e2b7b2d122d"
"obf-e642da19-c9bb-47eb-85f9-3400d5376c57","ktech-e642da19-c9bb-47eb-85f9-3400d5376c57"
"obf-4a67ed7a-7387-4ff4-a610-0060a02d2eb8","ktech-4a67ed7a-7387-4ff4-a610-0060a02d2eb8"
"obf-63d3ac25-85f8-4c5b-b2e2-cce25363560e","ktech-63d3ac25-85f8-4c5b-b2e2-cce25363560e"
"obf-4aa2cc22-e6a0-4699-9d60-15650f4dc74f","ktech-4aa2cc22-e6a0-4699-9d60-15650f4dc74f"
"obf-c902f00f-97fd-45c0-8753-dace2c608168","ktech-c902f00f-97fd-45c0-8753-dace2c608168"
"obf-f0a70cc6-83e5-49e2-aa52-a3068c7304ef","ktech-f0a70cc6-83e5-49e2-aa52-a3068c7304ef"
"obf-47087c4a-ac12-4f51-815a-233ac60b827c","ktech-47087c4a-ac12-4f51-815a-233ac60b827c"
"obf-cce3dfde-fcbc-4972-b666-e50403edb23e","ktech-cce3dfde-fcbc-4972-b666-e50403edb23e"
"obf-312017d6-1fbe-4ad1-abe5-97c411d6c9f7","ktech-312017d6-1fbe-4ad1-abe5-97c411d6c9f7"
"obf-be003bad-fc60-4ba7-868d-194f909d4c4b","ktech-be003bad-fc60-4ba7-868d-194f909d4c4b"
"obf-b887aec6-ea88-49e3-b349-3c0797c4723d","ktech-b887aec6-ea88-49e3-b349-3c0797c4723d"
"obf-6f14fa07-7cbf-4473-9ab3-d47864b7ed98","ktech-6f14fa07-7cbf-4473-9ab3-d47864b7ed98"
"obf-40c10504-94ed-4e29-8caa-18eb049a7c0c","ktech-40c10504-94ed-4e29-8caa-18eb049a7c0c"
"obf-686b23f5-bcce-4c68-a6e5-fcf31a7f6ed8","ktech-686b23f5-bcce-4c68-a6e5-fcf31a7f6ed8"
"obf-0c7a8541-1cf9-4cce-85d8-5824104289cf","ktech-0c7a8541-1cf9-4cce-85d8-5824104289cf"
"obf-e0117c66-e93b-4f5d-b484-1310c38f2fa1","ktech-e0117c66-e93b-4f5d-b484-1310c38f2fa1"
"obf-5e8ee7c7-27a0-4cda-ba17-6cd931afc43c","ktech-5e8ee7c7-27a0-4cda-ba17-6cd931afc43c"
"obf-9d9c9b98-5ab5-47e1-8392-892bc853a203","ktech-9d9c9b98-5ab5-47e1-8392-892bc853a203"
"obf-e9238385-bcec-4866-9493-2fb6b9129c04","ktech-e9238385-bcec-4866-9493-2fb6b9129c04"
"obf-9300e8ea-52e6-4368-82a2-42f8afd594e2","ktech-9300e8ea-52e6-4368-82a2-42f8afd594e2"
"obf-5163e382-6b2b-4cc8-bf47-22a2e1e8e346","ktech-5163e382-6b2b-4cc8-bf47-22a2e1e8e346"
"obf-2f39e379-fb3b-4776-bcf8-5d7044c0bef7","ktech-2f39e379-fb3b-4776-bcf8-5d7044c0bef7"
"obf-2480daf0-c14e-4db9-9adb-46b00df4da5e","ktech-2480daf0-c14e-4db9-9adb-46b00df4da5e"
"obf-5a728e27-6359-433e-b673-ab863b561427","ktech-5a728e27-6359-433e-b673-ab863b561427"
"obf-0c3de308-f0f5-44d8-a4a2-dd3d74452216","ktech-0c3de308-f0f5-44d8-a4a2-dd3d74452216"
"obf-26c5a7ae-cf37-4f6b-93ad-bb47ffdc564c","ktech-26c5a7ae-cf37-4f6b-93ad-bb47ffdc564c"
"obf-de76a07a-0935-4cea-9755-089a2da00020","ktech-de76a07a-0935-4cea-9755-089a2da00020"
"obf-d7f52f90-7169-41fa-97e3-31f1488aa7da","ktech-d7f52f90-7169-41fa-97e3-31f1488aa7da"
"obf-4e32dea8-742d-474f-bf43-bbfce4656239","ktech-4e32dea8-742d-474f-bf43-bbfce4656239"
