m_ktech_id,ktech_id
attack-pattern--56e0d8b8-3e25-49dd-9050-3aa252f5aa92,ktech-cce83cd7-20ee-4a03-b731-51df2c399b4c
attack-pattern--36b2a1d7-e09e-49bf-b45e-477076c2ec01,ktech-cce3dfde-fcbc-4972-b666-e50403edb23e
attack-pattern--0bda01d5-4c1d-4062-8ee2-6872334383c3,ktech-cce3dfde-fcbc-4972-b666-e50403edb23e
attack-pattern--16e94db9-b5b1-4cd0-b851-f38fbd0a70f2,ktech-6f14fa07-7cbf-4473-9ab3-d47864b7ed98
attack-pattern--0470e792-32f8-46b0-a351-652bc35e9336,ktech-5e8ee7c7-27a0-4cda-ba17-6cd931afc43c
attack-pattern--ef67e13e-5598-4adc-bdb2-998225874fa9,ktech-40c10504-94ed-4e29-8caa-18eb049a7c0c
attack-pattern--e3a12395-188d-4051-9a16-ea8e14d07b88,ktech-47087c4a-ac12-4f51-815a-233ac60b827c
attack-pattern--005a06c6-14bf-4118-afa0-ebcd8aebb0c9,ktech-4a67ed7a-7387-4ff4-a610-0060a02d2eb8
attack-pattern--7b50a1d3-4ca7-45d1-989d-a6503f04bfe1,ktech-5163e382-6b2b-4cc8-bf47-22a2e1e8e346
attack-pattern--60b508a1-6a5e-46b1-821a-9f7b78752abf,ktech-26c5a7ae-cf37-4f6b-93ad-bb47ffdc564c
attack-pattern--8187bd2a-866f-4457-9009-86b0ddedffa3,ktech-d7f52f90-7169-41fa-97e3-31f1488aa7da
attack-pattern--15dbf668-795c-41e6-8219-f0447c0e64ce,ktech-6f14fa07-7cbf-4473-9ab3-d47864b7ed98
attack-pattern--4a5b7ade-8bb5-4853-84ed-23f262002665,ktech-2f39e379-fb3b-4776-bcf8-5d7044c0bef7
attack-pattern--3f886f2a-874f-4333-b794-aa6075009b1c,ktech-e0117c66-e93b-4f5d-b484-1310c38f2fa1
attack-pattern--a93494bb-4b80-4ea1-8695-3236a49916fd,ktech-d7f52f90-7169-41fa-97e3-31f1488aa7da
attack-pattern--1c4e5d32-1fe9-4116-9d9d-59e3925bd6a2,ktech-5e328d1a-c14d-4031-99c0-d107731563e3
attack-pattern--2acf44aa-542f-4366-b4eb-55ef5747759c,ktech-4a67ed7a-7387-4ff4-a610-0060a02d2eb8
attack-pattern--3d333250-30e4-4a82-9edc-756c68afc529,ktech-5e328d1a-c14d-4031-99c0-d107731563e3
attack-pattern--d74c4a7e-ffbf-432f-9365-7ebf1f787cab,ktech-cce3dfde-fcbc-4972-b666-e50403edb23e
attack-pattern--ac08589e-ee59-4935-8667-d845e38fe579,ktech-5e328d1a-c14d-4031-99c0-d107731563e3
attack-pattern--4fd8a28b-4b3a-4cd6-a8cf-85ba5f824a7f,ktech-40c10504-94ed-4e29-8caa-18eb049a7c0c
attack-pattern--cd25c1b4-935c-4f0e-ba8d-552f28bc4783,ktech-4aa2cc22-e6a0-4699-9d60-15650f4dc74f
attack-pattern--18cffc21-3260-437e-80e4-4ab8bf2ba5e9,ktech-be003bad-fc60-4ba7-868d-194f909d4c4b
attack-pattern--6151cbea-819b-455a-9fa6-99a1cc58797d,ktech-2480daf0-c14e-4db9-9adb-46b00df4da5e
attack-pattern--3aef9463-9a7a-43ba-8957-a867e07c1e6a,ktech-d4286f4c-e286-48ca-a2d5-8f5089fff410
attack-pattern--35dd844a-b219-4e2b-a6bb-efa9a75995a9,ktech-4a67ed7a-7387-4ff4-a610-0060a02d2eb8
attack-pattern--2bee5ffb-7a7a-4119-b1f2-158151b19ac0,ktech-e0117c66-e93b-4f5d-b484-1310c38f2fa1
attack-pattern--42e8de7b-37b2-4258-905a-6897815e58e0,ktech-5e328d1a-c14d-4031-99c0-d107731563e3
attack-pattern--d63a3fb8-9452-4e9d-a60a-54be68d5998c,ktech-686b23f5-bcce-4c68-a6e5-fcf31a7f6ed8
attack-pattern--232b7f21-adf9-4b42-b936-b9d6f7df856e,ktech-d4286f4c-e286-48ca-a2d5-8f5089fff410
attack-pattern--800f9819-7007-4540-a520-40e655876800,ktech-40c10504-94ed-4e29-8caa-18eb049a7c0c
attack-pattern--f8ef3a62-3f44-40a4-abca-761ab235c436,ktech-0c7a8541-1cf9-4cce-85d8-5824104289cf
attack-pattern--b21c3b2d-02e6-45b1-980b-e69051040839,ktech-2480daf0-c14e-4db9-9adb-46b00df4da5e
attack-pattern--435dfb86-2697-4867-85b5-2fef496c0517,ktech-5e8ee7c7-27a0-4cda-ba17-6cd931afc43c
attack-pattern--b0c74ef9-c61e-4986-88cb-78da98a355ec,ktech-40c10504-94ed-4e29-8caa-18eb049a7c0c
attack-pattern--1126cab1-c700-412f-a510-61f4937bb096,ktech-4a67ed7a-7387-4ff4-a610-0060a02d2eb8
attack-pattern--7bdca9d5-d500-4d7d-8c52-5fd47baf4c0c,ktech-4aa2cc22-e6a0-4699-9d60-15650f4dc74f
attack-pattern--b17a1a56-e99c-403c-8948-561df0cffe81,ktech-2480daf0-c14e-4db9-9adb-46b00df4da5e
attack-pattern--38eb0c22-6caf-46ce-8869-5964bd735858,ktech-de76a07a-0935-4cea-9755-089a2da00020
attack-pattern--10d51417-ee35-4589-b1ff-b6df1c334e8d,ktech-8c302563-5294-498c-95a4-b96daf9ed5e1
attack-pattern--799ace7f-e227-4411-baa0-8868704f2a69,ktech-24660362-fa61-411c-9f82-8f6e107b1b2c
attack-pattern--c675646d-e204-4aa8-978d-e3d6d65885c4,ktech-cce3dfde-fcbc-4972-b666-e50403edb23e
attack-pattern--837f9164-50af-4ac0-8219-379d8a74cefc,ktech-26c5a7ae-cf37-4f6b-93ad-bb47ffdc564c
attack-pattern--f232fa7a-025c-4d43-abc7-318e81a73d65,ktech-6f14fa07-7cbf-4473-9ab3-d47864b7ed98
attack-pattern--bd5b58a4-a52d-4a29-bc0d-3f1d3968eb6b,ktech-5e328d1a-c14d-4031-99c0-d107731563e3
attack-pattern--74d2a63f-3c7b-4852-92da-02d8fbab16da,ktech-24660362-fa61-411c-9f82-8f6e107b1b2c
attack-pattern--56e0d8b8-3e25-49dd-9050-3aa252f5aa92,ktech-4e32dea8-742d-474f-bf43-bbfce4656239
attack-pattern--0470e792-32f8-46b0-a351-652bc35e9336,ktech-0c7a8541-1cf9-4cce-85d8-5824104289cf
attack-pattern--ef67e13e-5598-4adc-bdb2-998225874fa9,ktech-be003bad-fc60-4ba7-868d-194f909d4c4b
attack-pattern--7b50a1d3-4ca7-45d1-989d-a6503f04bfe1,ktech-312017d6-1fbe-4ad1-abe5-97c411d6c9f7
attack-pattern--60b508a1-6a5e-46b1-821a-9f7b78752abf,ktech-5e8ee7c7-27a0-4cda-ba17-6cd931afc43c
attack-pattern--3f886f2a-874f-4333-b794-aa6075009b1c,ktech-de76a07a-0935-4cea-9755-089a2da00020
attack-pattern--3d333250-30e4-4a82-9edc-756c68afc529,ktech-0c3de308-f0f5-44d8-a4a2-dd3d74452216
attack-pattern--18cffc21-3260-437e-80e4-4ab8bf2ba5e9,ktech-e0117c66-e93b-4f5d-b484-1310c38f2fa1
attack-pattern--3aef9463-9a7a-43ba-8957-a867e07c1e6a,ktech-e642da19-c9bb-47eb-85f9-3400d5376c57
attack-pattern--2bee5ffb-7a7a-4119-b1f2-158151b19ac0,ktech-de76a07a-0935-4cea-9755-089a2da00020
attack-pattern--42e8de7b-37b2-4258-905a-6897815e58e0,ktech-63d3ac25-85f8-4c5b-b2e2-cce25363560e
attack-pattern--d63a3fb8-9452-4e9d-a60a-54be68d5998c,ktech-d4286f4c-e286-48ca-a2d5-8f5089fff410
attack-pattern--232b7f21-adf9-4b42-b936-b9d6f7df856e,ktech-e642da19-c9bb-47eb-85f9-3400d5376c57
attack-pattern--b21c3b2d-02e6-45b1-980b-e69051040839,ktech-c902f00f-97fd-45c0-8753-dace2c608168
attack-pattern--435dfb86-2697-4867-85b5-2fef496c0517,ktech-26c5a7ae-cf37-4f6b-93ad-bb47ffdc564c
attack-pattern--7bdca9d5-d500-4d7d-8c52-5fd47baf4c0c,ktech-63d3ac25-85f8-4c5b-b2e2-cce25363560e
attack-pattern--b17a1a56-e99c-403c-8948-561df0cffe81,ktech-9300e8ea-52e6-4368-82a2-42f8afd594e2
attack-pattern--38eb0c22-6caf-46ce-8869-5964bd735858,ktech-e0117c66-e93b-4f5d-b484-1310c38f2fa1
attack-pattern--799ace7f-e227-4411-baa0-8868704f2a69,ktech-686b23f5-bcce-4c68-a6e5-fcf31a7f6ed8
attack-pattern--74d2a63f-3c7b-4852-92da-02d8fbab16da,ktech-0c3de308-f0f5-44d8-a4a2-dd3d74452216
attack-pattern--56e0d8b8-3e25-49dd-9050-3aa252f5aa92,ktech-312017d6-1fbe-4ad1-abe5-97c411d6c9f7
attack-pattern--0470e792-32f8-46b0-a351-652bc35e9336,ktech-e9238385-bcec-4866-9493-2fb6b9129c04
attack-pattern--3f886f2a-874f-4333-b794-aa6075009b1c,ktech-be003bad-fc60-4ba7-868d-194f909d4c4b
attack-pattern--3d333250-30e4-4a82-9edc-756c68afc529,ktech-24660362-fa61-411c-9f82-8f6e107b1b2c
attack-pattern--42e8de7b-37b2-4258-905a-6897815e58e0,ktech-5a728e27-6359-433e-b673-ab863b561427
attack-pattern--d63a3fb8-9452-4e9d-a60a-54be68d5998c,ktech-e642da19-c9bb-47eb-85f9-3400d5376c57
attack-pattern--b21c3b2d-02e6-45b1-980b-e69051040839,ktech-1ccba6a5-ff26-4306-bd58-c652533540e6
attack-pattern--435dfb86-2697-4867-85b5-2fef496c0517,ktech-d4286f4c-e286-48ca-a2d5-8f5089fff410
attack-pattern--7bdca9d5-d500-4d7d-8c52-5fd47baf4c0c,ktech-5a728e27-6359-433e-b673-ab863b561427
attack-pattern--38eb0c22-6caf-46ce-8869-5964bd735858,ktech-be003bad-fc60-4ba7-868d-194f909d4c4b
attack-pattern--799ace7f-e227-4411-baa0-8868704f2a69,ktech-0c3de308-f0f5-44d8-a4a2-dd3d74452216
attack-pattern--56e0d8b8-3e25-49dd-9050-3aa252f5aa92,ktech-c902f00f-97fd-45c0-8753-dace2c608168
